Feature,SHAP Value
NAME_FAMILY_STATUS_Civil marriage,-0.004966496971901506
NAME_FAMILY_STATUS_Married,0.02213730079238303
NAME_FAMILY_STATUS_Separated,0.0016189922741614282
NAME_FAMILY_STATUS_Single / not married,0.03865088981576264
NAME_FAMILY_STATUS_Widow,-0.0008589461119845509
NAME_HOUSING_TYPE_Co-op apartment,0.0
NAME_HOUSING_TYPE_House / apartment,0.0009152330132201314
NAME_HOUSING_TYPE_Municipal apartment,-0.0029521397408097984
NAME_HOUSING_TYPE_Office apartment,0.00045485261827707293
NAME_HOUSING_TYPE_Rented apartment,-0.0004083488089963794
NAME_HOUSING_TYPE_With parents,0.0004647874925285578
OCCUPATION_TYPE_Accountants,0.0
OCCUPATION_TYPE_Cleaning staff,-0.00041546668857336046
OCCUPATION_TYPE_Cooking staff,0.0
OCCUPATION_TYPE_Core staff,0.012199191476684064
OCCUPATION_TYPE_Drivers,-0.0007564437156543136
OCCUPATION_TYPE_HR staff,0.0
OCCUPATION_TYPE_High skill tech staff,0.004946327265352011
OCCUPATION_TYPE_IT staff,0.0
OCCUPATION_TYPE_Laborers,0.008165495175053366
OCCUPATION_TYPE_Low-skill Laborers,0.0
OCCUPATION_TYPE_Managers,0.0007608735421672463
OCCUPATION_TYPE_Medicine staff,4.157194867730141e-05
OCCUPATION_TYPE_Private service staff,-3.6902674473822117e-05
OCCUPATION_TYPE_Realty agents,0.0
OCCUPATION_TYPE_Sales staff,-0.00040875707287341356
OCCUPATION_TYPE_Secretaries,0.0
OCCUPATION_TYPE_Security staff,-0.0010708563588559628
OCCUPATION_TYPE_Waiters/barmen staff,-0.0005666507594287395
WEEKDAY_APPR_PROCESS_START_FRIDAY,0.0006577345100231469
WEEKDAY_APPR_PROCESS_START_MONDAY,0.001801406778395176
WEEKDAY_APPR_PROCESS_START_SATURDAY,0.0009151955228298902
WEEKDAY_APPR_PROCESS_START_SUNDAY,0.001826580362394452
WEEKDAY_APPR_PROCESS_START_THURSDAY,-0.0004260040400549769
WEEKDAY_APPR_PROCESS_START_TUESDAY,-0.005670543540036306
WEEKDAY_APPR_PROCESS_START_WEDNESDAY,0.038488537073135376
ORGANIZATION_TYPE_Advertising,0.0
